scan_id,original_filename,set_number,page,variant,normalized_name,note,needs_review,size_bytes
set-001,Set 1.tif,1,,,Set 001,,False,2155776
set-002,Set 2.tif,2,,,Set 002,,False,2570078
set-003,Set 3.tif,3,,,Set 003,,False,4947224
set-004,Set 4.tif,4,,,Set 004,,False,5483658
set-005,Set 005.tif,5,,,Set 005,,False,5694130
set-005-alt2,Set 5.tif,5,,,Set 005,duplicate set number — distinct image colliding with 'set-005'; resolve during review,True,4637142
set-006,Set 6.tif,6,,,Set 006,,False,6224694
set-007,Set 7.tif,7,,,Set 007,,False,3330986
set-008,Set 8.tif,8,,,Set 008,,False,5786326
set-009,Set 9.tif,9,,,Set 009,,False,5831208
set-010,Set 10.tif,10,,,Set 010,,False,6978142
set-011,Set 11.tif,11,,,Set 011,,False,7171036
set-012,Set 12.tif,12,,,Set 012,,False,6920558
set-013,Set 13.tif,13,,,Set 013,,False,7371342
set-014,Set 14.tif,14,,,Set 014,,False,6538364
set-015,Set 15.tif,15,,,Set 015,,False,5531434
set-016,Set 16.tif,16,,,Set 016,,False,4637500
set-017,Set 17.tif,17,,,Set 017,,False,6783538
set-018,Set 18.tif,18,,,Set 018,,False,8155464
set-019,Set 19.tif,19,,,Set 019,,False,6741642
set-020,Set 20.tif,20,,,Set 020,,False,8781252
set-021,Set 21.tif,21,,,Set 021,,False,6680754
set-022,Set 22.tif,22,,,Set 022,,False,7887570
set-023,Set 23.tif,23,,,Set 023,,False,3135826
set-024,Set 24.tif,24,,,Set 024,,False,3120192
set-025,Set 25.tif,25,,,Set 025,,False,3357002
set-026,Set 26.tif,26,,,Set 026,,False,3527320
set-027,Set 27.tif,27,,,Set 027,,False,4132200
set-028,Set 28.tif,28,,,Set 028,,False,4456926
set-029,Set 29.tif,29,,,Set 029,,False,2464208
set-030,Set 30.tif,30,,,Set 030,,False,2288922
set-031,Set 31-Trang sau cua set 30.tif,31,,,Set 031,back page of Set 30 (Trang sau của set 30),True,2169556
set-032,Set 32.tif,32,,,Set 032,,False,3475500
set-033,Set 33.tif,33,,,Set 033,,False,2276082
set-034a,Set 34 A.tif,34,A,,Set 034A,,False,3359818
set-034b,Set 34 B.tif,34,B,,Set 034B,,False,3466632
set-035,Set 35.tif,35,,,Set 035,,False,2899336
set-036,Set 36.tif,36,,,Set 036,,False,2867160
set-037,Set 37.tif,37,,,Set 037,,False,3264578
set-038,Set 38.tif,38,,,Set 038,,False,3351696
set-039,Set 39.tif,39,,,Set 039,,False,2676352
set-040,Set 40.tif,40,,,Set 040,,False,4548118
set-041,Set 41.tif,41,,,Set 041,,False,4646546
set-042,Set 42.tif,42,,,Set 042,,False,5018294
set-043a,Set 43A.tif,43,A,,Set 043A,,False,3072530
set-043b,Set 43B.tif,43,B,,Set 043B,,False,3093328
set-044,Set 44.tif,44,,,Set 044,,False,1853140
set-045,Set 45.tif,45,,,Set 045,,False,3289216
set-046,Set 46 Khong dde.tif,46,,,Set 046,poem is untitled (Không đề),False,1911638
set-047,Set 47.tif,47,,,Set 047,,False,3236820
set-048,Set 48.tif,48,,,Set 048,,False,5209790
set-049,Set 49.tif,49,,,Set 049,,False,3705322
set-050,Set 50.tif,50,,,Set 050,,False,8180428
set-052,Set 52.tif,52,,,Set 052,,False,7454838
set-053,Set 53.tif,53,,,Set 053,,False,6351414
set-054,Set 54.tif,54,,,Set 054,,False,6954504
set-055,Set 55.tif,55,,,Set 055,,False,6805020
set-056,Set 56.tif,56,,,Set 056,,False,25595096
set-056-2,Set 56 2.tif,56,,second-scan,Set 056 (dup #),distinct poem sharing set number (filename ' 2'); likely needs renumbering — verify during review,True,5693032
set-057,Set 57.tif,57,,,Set 057,,False,6045920
set-058,Set 58.tif,58,,,Set 058,,False,2019122
set-059,Set 59.tif,59,,,Set 059,,False,2043672
set-060,Set 60.tif,60,,,Set 060,,False,1857316
set-061a,Set 61A.tif,61,A,,Set 061A,,False,2327306
set-061b,Set 61B.tif,61,B,,Set 061B,,False,1453156
set-062,Set 62.tif,62,,,Set 062,,False,1871412
set-063,Set 63.tif,63,,,Set 063,,False,2235468
set-065,Set 65.tif,65,,,Set 065,,False,3032180
set-066,Set 66.tif,66,,,Set 066,,False,3036412
set-067a,Set 67A.tif,67,A,,Set 067A,,False,2881012
set-067b,Set 67B.tif,67,B,,Set 067B,,False,156532
set-068,Set 68.tif,68,,,Set 068,,False,2596470
set-069,Set 69.tif,69,,,Set 069,,False,3475336
set-070,Set 70.tif,70,,,Set 070,,False,2703484
set-071,Set 71.tif,71,,,Set 071,,False,6476626
set-072,Set 72.tif,72,,,Set 072,,False,2601912
